mode,episode,total_reward,steps,success,final_info
tracking,42,4.774472295448184,73,True,"{'detected': True, 'success': True, 'target_pos': [62.86148452758789, 45.30962371826172], 'target_vel': [2.4262990951538086, -3.1801059246063232], 'last_known_pos': [62.86148452758789, 45.30962371826172], 'last_known_vel': [2.4262990951538086, -3.1801059246063232]}"
tracking,43,2.43433791552484,18,True,"{'detected': True, 'success': True, 'target_pos': [46.08937454223633, 52.17524337768555], 'target_vel': [-1.4470728635787964, 3.729072093963623], 'last_known_pos': [46.08937454223633, 52.17524337768555], 'last_known_vel': [-1.4470728635787964, 3.729072093963623]}"
tracking,44,4.136300788238644,61,True,"{'detected': True, 'success': True, 'target_pos': [49.894775390625, 39.91669464111328], 'target_vel': [-2.221658945083618, 3.3262939453125], 'last_known_pos': [49.894775390625, 39.91669464111328], 'last_known_vel': [-2.221658945083618, 3.3262939453125]}"
tracking,45,4.663427596911788,71,True,"{'detected': True, 'success': True, 'target_pos': [38.63969421386719, 56.18962478637695], 'target_vel': [2.9254708290100098, 2.727932929992676], 'last_known_pos': [38.63969421386719, 56.18962478637695], 'last_known_vel': [2.9254708290100098, 2.727932929992676]}"
tracking,46,2.544170387893915,16,True,"{'detected': True, 'success': True, 'target_pos': [42.349647521972656, 77.39102172851562], 'target_vel': [-1.2908265590667725, 3.7859959602355957], 'last_known_pos': [42.349647521972656, 77.39102172851562], 'last_known_vel': [-1.2908265590667725, 3.7859959602355957]}"
tracking,47,5.6963713385611765,124,True,"{'detected': True, 'success': True, 'target_pos': [57.115142822265625, 61.846946716308594], 'target_vel': [2.211860418319702, -3.332817792892456], 'last_known_pos': [57.115142822265625, 61.846946716308594], 'last_known_vel': [2.211860418319702, -3.332817792892456]}"
tracking,48,4.0447386679947375,52,True,"{'detected': True, 'success': True, 'target_pos': [48.55240249633789, 77.70207214355469], 'target_vel': [3.3579442501068115, 2.173524856567383], 'last_known_pos': [48.55240249633789, 77.70207214355469], 'last_known_vel': [3.3579442501068115, 2.173524856567383]}"
tracking,49,3.7182948648259044,80,True,"{'detected': True, 'success': True, 'target_pos': [32.153160095214844, 66.93933868408203], 'target_vel': [-0.7484214305877686, -3.9293594360351562], 'last_known_pos': [32.153160095214844, 66.93933868408203], 'last_known_vel': [-0.7484214305877686, -3.9293594360351562]}"
tracking,50,2.8687285117730497,107,True,"{'detected': True, 'success': True, 'target_pos': [40.92401885986328, 65.30877685546875], 'target_vel': [3.958679437637329, -0.5734612345695496], 'last_known_pos': [40.92401885986328, 65.30877685546875], 'last_known_vel': [3.958679437637329, -0.5734612345695496]}"
tracking,51,6.806375000298023,300,False,"{'detected': False, 'success': False, 'target_pos': [63.0068359375, 54.02739334106445], 'target_vel': [3.6121482849121094, 1.7182507514953613], 'last_known_pos': [30.497499465942383, 38.563140869140625], 'last_known_vel': [3.6121480464935303, 1.7182503938674927]}"
tracking,52,4.061248730257153,107,True,"{'detected': True, 'success': True, 'target_pos': [60.496253967285156, 56.74446105957031], 'target_vel': [-3.4860501289367676, -1.9614930152893066], 'last_known_pos': [60.496253967285156, 56.74446105957031], 'last_known_vel': [-3.4860501289367676, -1.9614930152893066]}"
tracking,53,3.053613439641893,39,True,"{'detected': True, 'success': True, 'target_pos': [47.840415954589844, 85.18168640136719], 'target_vel': [1.1666284799575806, 3.826091766357422], 'last_known_pos': [47.840415954589844, 85.18168640136719], 'last_known_vel': [1.1666284799575806, 3.826091766357422]}"
tracking,54,4.578148252718151,300,False,"{'detected': False, 'success': False, 'target_pos': [39.44184494018555, 47.738525390625], 'target_vel': [0.7598745226860046, -3.9271605014801025], 'last_known_pos': [35.6424674987793, 67.37433624267578], 'last_known_vel': [0.7598748207092285, -3.9271605014801025]}"
